test_id,student_id,math,science,social_science,english,computer,exam_date
80,16,60,64,59,69,83,2026-05-03
81,17,80,99,62,48,72,2026-01-11
82,17,73,56,59,63,54,2026-02-10
83,17,49,75,39,59,61,2026-03-07
84,17,82,46,77,79,78,2026-04-04
85,17,79,61,72,89,63,2026-05-03
86,18,68,60,53,56,52,2026-01-11
87,18,75,71,46,65,46,2026-02-10
88,18,49,63,75,51,83,2026-03-08
89,18,61,60,45,56,73,2026-04-06
90,18,49,60,76,46,63,2026-05-02
91,19,68,51,67,64,49,2026-01-12
92,19,42,69,61,52,53,2026-02-09
93,19,64,45,57,53,62,2026-03-08
94,19,38,75,73,49,61,2026-04-04
95,19,28,50,38,64,58,2026-05-02
96,20,54,48,62,69,60,2026-01-12
97,20,69,68,74,25,54,2026-02-08
98,20,72,58,49,59,76,2026-03-08
99,20,54,74,67,88,74,2026-04-04
100,20,44,77,53,70,50,2026-05-05
101,21,64,64,70,65,86,2026-01-12
102,21,65,42,49,65,56,2026-02-08
103,21,48,80,55,66,69,2026-03-10
104,21,43,68,36,58,84,2026-04-07
105,21,81,87,62,71,80,2026-05-04
106,22,54,52,40,34,43,2026-01-10
107,22,48,55,42,37,72,2026-02-09
108,22,65,43,50,40,46,2026-03-07
109,22,44,50,43,51,58,2026-04-06
110,22,62,41,55,64,49,2026-05-05
111,23,77,47,47,79,77,2026-01-11
112,23,79,82,93,69,77,2026-02-09
113,23,48,72,64,64,84,2026-03-07
114,23,54,70,56,74,80,2026-04-06
115,23,80,74,60,65,68,2026-05-05
116,24,56,63,69,58,74,2026-01-13
117,24,46,60,70,37,57,2026-02-10
118,24,54,71,79,40,55,2026-03-09
119,24,80,65,77,41,93,2026-04-07
120,24,49,71,63,48,74,2026-05-02
121,25,48,64,68,71,85,2026-01-13
122,25,89,54,59,66,57,2026-02-08
123,25,75,47,41,65,57,2026-03-10
124,25,66,53,50,62,64,2026-04-04
125,25,27,38,51,43,48,2026-05-04
126,26,55,48,40,66,47,2026-01-10
127,26,64,48,49,55,60,2026-02-09
128,26,61,42,41,65,45,2026-03-09
129,26,58,60,63,66,56,2026-04-07
130,26,45,61,46,68,70,2026-05-03
131,27,31,40,52,46,57,2026-01-10
132,27,66,50,41,47,64,2026-02-09
133,27,48,39,34,50,49,2026-03-08
134,27,55,34,28,47,59,2026-04-04
135,27,36,53,30,48,38,2026-05-04
136,28,50,65,63,63,71,2026-01-10
137,28,52,54,52,52,50,2026-02-07
138,28,35,56,67,72,59,2026-03-08
139,28,61,58,29,86,64,2026-04-06
140,28,65,52,56,65,82,2026-05-03
141,29,61,60,75,59,54,2026-01-12
142,29,54,27,58,43,69,2026-02-09
143,29,42,74,29,50,59,2026-03-08
144,29,50,70,52,57,53,2026-04-04
145,29,55,67,34,66,67,2026-05-05
146,30,78,84,73,51,70,2026-01-11
147,30,59,73,85,89,98,2026-02-07
148,30,59,71,65,87,62,2026-03-08
149,30,67,71,57,69,81,2026-04-05
150,30,77,47,79,84,89,2026-05-03
151,31,48,32,48,56,44,2026-01-12
152,31,33,57,64,61,48,2026-02-10
153,31,63,39,41,32,54,2026-03-07
154,31,67,61,36,44,32,2026-04-07
155,31,36,53,76,47,42,2026-05-04
156,32,67,70,89,80,83,2026-01-11
157,32,66,81,88,78,71,2026-02-07
158,32,67,63,51,77,89,2026-03-07
159,32,62,74,59,78,86,2026-04-05
160,32,75,60,69,78,68,2026-05-03
161,33,64,69,54,60,54,2026-01-10
162,33,36,67,62,30,40,2026-02-08
163,33,50,40,27,36,45,2026-03-07
164,33,55,33,49,48,48,2026-04-07
165,33,55,52,33,54,61,2026-05-05
166,34,53,44,38,41,76,2026-01-13
167,34,48,64,55,54,30,2026-02-07
168,34,51,43,60,47,70,2026-03-09
169,34,64,52,56,37,48,2026-04-05
170,34,80,62,62,56,63,2026-05-05
171,35,46,40,66,49,72,2026-01-12
172,35,50,53,78,68,48,2026-02-07
173,35,76,53,53,67,63,2026-03-09
174,35,65,50,64,48,56,2026-04-05
175,35,60,64,57,53,62,2026-05-05
176,36,65,58,63,70,74,2026-01-12
177,36,93,89,66,79,48,2026-02-08
178,36,38,61,62,75,66,2026-03-08
179,36,75,66,59,86,89,2026-04-05
180,36,65,59,42,62,60,2026-05-03
181,37,51,61,62,84,72,2026-01-11
182,37,54,47,66,62,50,2026-02-10
183,37,55,56,49,72,60,2026-03-10
184,37,83,64,72,68,67,2026-04-07
185,37,42,92,82,70,72,2026-05-03
186,38,55,44,56,61,74,2026-01-13
187,38,56,46,45,48,61,2026-02-10
188,38,61,43,60,60,63,2026-03-10
189,38,37,48,37,67,61,2026-04-06
190,38,63,51,58,39,32,2026-05-04
191,39,66,59,62,48,67,2026-01-12
192,39,74,78,70,68,78,2026-02-09
193,39,72,60,38,70,83,2026-03-10
194,39,51,72,58,52,70,2026-04-04
195,39,80,55,60,60,80,2026-05-03
196,40,70,62,90,73,72,2026-01-11
197,40,73,73,25,59,56,2026-02-07
198,40,56,48,52,74,73,2026-03-07
199,40,66,67,54,52,66,2026-04-06
200,40,63,79,55,70,47,2026-05-04
201,41,71,28,41,57,42,2026-01-10
202,41,60,52,54,67,66,2026-02-10
203,41,46,54,69,40,79,2026-03-10
204,41,93,41,58,62,66,2026-04-07
205,41,48,60,72,76,61,2026-05-03
206,42,43,45,63,58,67,2026-01-12
207,42,58,72,58,61,53,2026-02-07
208,42,33,53,72,68,42,2026-03-10
209,42,55,62,35,49,70,2026-04-06
210,42,58,59,58,55,44,2026-05-05
211,43,49,63,47,45,56,2026-01-13
212,43,55,25,56,56,58,2026-02-07
213,43,46,67,46,67,51,2026-03-08
214,43,69,33,37,63,68,2026-04-05
215,43,29,65,54,71,51,2026-05-04
216,44,75,57,57,76,49,2026-01-10
217,44,73,58,68,74,75,2026-02-09
218,44,45,62,81,58,69,2026-03-07
219,44,72,55,67,81,63,2026-04-06
220,44,55,54,61,79,63,2026-05-02
221,45,63,66,51,38,51,2026-01-10
222,45,75,55,61,53,49,2026-02-07
223,45,56,62,25,61,57,2026-03-07
224,45,64,50,43,60,51,2026-04-04
225,45,72,37,42,36,57,2026-05-04
226,46,89,72,91,69,64,2026-01-10
227,46,72,73,58,69,57,2026-02-08
228,46,66,56,75,56,86,2026-03-07
229,46,75,49,66,83,60,2026-04-04
230,46,69,74,61,89,83,2026-05-05
231,47,63,42,43,59,54,2026-01-11
232,47,25,54,35,38,70,2026-02-09
233,47,46,28,53,47,45,2026-03-09
234,47,39,47,65,56,46,2026-04-04
235,47,57,64,52,61,76,2026-05-03
236,48,40,74,53,70,64,2026-01-11
237,48,54,50,66,60,60,2026-02-07
238,48,54,61,70,65,57,2026-03-10
239,48,73,62,73,80,76,2026-04-05
240,48,62,49,50,37,74,2026-05-05
241,49,59,42,60,66,53,2026-01-11
242,49,60,49,62,81,80,2026-02-07
243,49,69,74,70,75,71,2026-03-08
244,49,65,80,45,60,89,2026-04-04
245,49,72,57,32,57,63,2026-05-04
246,50,61,60,61,69,64,2026-01-10
247,50,34,52,44,62,65,2026-02-10
248,50,36,34,51,52,68,2026-03-09
249,50,43,83,35,72,61,2026-04-06
250,50,61,52,47,49,72,2026-05-05
251,51,62,64,77,63,81,2026-01-10
252,51,89,63,58,47,41,2026-02-10
253,51,51,64,57,70,75,2026-03-07
254,51,79,51,59,56,61,2026-04-07
255,51,28,59,73,63,61,2026-05-02
256,52,73,76,57,51,59,2026-01-13
257,52,43,61,37,66,65,2026-02-07
258,52,63,66,68,79,76,2026-03-07
259,52,65,47,84,55,71,2026-04-06
260,52,76,61,56,64,78,2026-05-04
261,53,50,52,76,68,81,2026-01-13
262,53,91,65,72,90,61,2026-02-08
263,53,67,89,81,74,93,2026-03-08
264,53,70,66,96,68,84,2026-04-07
265,53,76,61,84,82,80,2026-05-05
266,54,54,75,59,65,64,2026-01-13
267,54,61,48,45,56,74,2026-02-10
268,54,36,46,37,57,29,2026-03-10
269,54,47,46,48,59,57,2026-04-05
270,54,25,48,47,59,42,2026-05-05
271,55,57,66,45,60,69,2026-01-10
272,55,41,62,54,76,34,2026-02-09
273,55,62,56,42,47,61,2026-03-07
274,55,41,53,50,68,57,2026-04-07
275,55,69,50,69,74,61,2026-05-02
276,56,50,59,46,76,58,2026-01-13
277,56,62,62,62,62,82,2026-02-07
278,56,62,73,58,57,52,2026-03-08
279,56,71,45,50,66,56,2026-04-04
280,56,33,70,66,42,58,2026-05-05
281,57,42,56,53,38,54,2026-01-12
282,57,42,40,25,50,50,2026-02-10
283,57,46,46,56,25,43,2026-03-10
284,57,57,50,43,52,37,2026-04-05
285,57,51,38,57,42,37,2026-05-03
286,58,78,43,37,73,62,2026-01-13
287,58,83,84,57,52,79,2026-02-10
288,58,65,74,72,79,80,2026-03-07
289,58,46,66,91,76,77,2026-04-06
290,58,82,56,87,57,64,2026-05-02
291,59,79,41,47,68,81,2026-01-13
292,59,82,66,78,85,60,2026-02-07
293,59,58,48,55,48,80,2026-03-07
294,59,64,62,44,54,51,2026-04-04
295,59,64,85,65,52,35,2026-05-04
296,60,65,82,68,95,91,2026-01-13
297,60,72,69,58,77,57,2026-02-08
298,60,55,57,73,67,95,2026-03-07
299,60,66,80,53,63,81,2026-04-04
300,60,68,85,63,52,61,2026-05-05
301,61,46,56,56,56,62,2026-01-11
302,61,47,81,62,85,64,2026-02-10
303,61,64,48,43,48,58,2026-03-09
304,61,40,52,39,65,59,2026-04-06
305,61,37,35,57,94,44,2026-05-04
306,62,55,59,51,41,55,2026-01-11
307,62,80,63,79,63,42,2026-02-10
308,62,75,64,30,26,68,2026-03-09
309,62,53,35,66,65,58,2026-04-04
310,62,65,35,53,59,81,2026-05-04
311,63,36,45,25,36,72,2026-01-12
312,63,36,60,48,38,25,2026-02-09
313,63,49,40,55,61,47,2026-03-10
314,63,43,59,39,36,53,2026-04-05
315,63,75,38,41,49,25,2026-05-03
316,64,67,69,69,67,53,2026-01-12
317,64,68,43,85,63,82,2026-02-07
318,64,48,82,70,65,65,2026-03-08
319,64,52,75,75,45,54,2026-04-06
320,64,79,49,64,75,74,2026-05-02
321,65,50,52,57,45,60,2026-01-11
322,65,56,80,51,64,54,2026-02-09
323,65,57,56,54,85,50,2026-03-09
324,65,61,44,74,69,50,2026-04-05
325,65,57,58,59,59,52,2026-05-04
326,66,60,36,63,69,64,2026-01-12
327,66,52,64,58,56,59,2026-02-07
328,66,66,59,60,59,56,2026-03-08
329,66,49,65,45,63,100,2026-04-07
330,66,47,69,74,38,56,2026-05-05
331,67,81,52,64,71,56,2026-01-13
332,67,61,67,70,68,81,2026-02-08
333,67,60,63,59,50,69,2026-03-09
334,67,75,72,53,69,81,2026-04-04
335,67,65,65,52,65,59,2026-05-03
336,68,57,48,64,72,61,2026-01-13
337,68,65,53,53,56,62,2026-02-07
338,68,63,45,70,56,38,2026-03-07
339,68,74,59,64,59,82,2026-04-05
340,68,52,88,54,59,82,2026-05-02
341,69,61,63,63,43,52,2026-01-13
342,69,64,51,80,56,77,2026-02-09
343,69,49,48,74,87,74,2026-03-09
344,69,57,54,69,58,54,2026-04-07
345,69,75,83,57,68,67,2026-05-02
346,70,73,54,60,35,84,2026-01-10
347,70,62,46,63,56,38,2026-02-10
348,70,47,62,57,75,67,2026-03-08
349,70,48,60,42,41,46,2026-04-06
350,70,76,65,75,51,72,2026-05-03
351,71,68,62,60,60,53,2026-01-10
352,71,76,60,49,58,74,2026-02-07
353,71,84,69,57,74,78,2026-03-07
354,71,67,62,66,61,57,2026-04-05
355,71,63,62,56,81,83,2026-05-04
356,72,79,68,72,80,96,2026-01-12
357,72,68,54,68,51,82,2026-02-07
358,72,69,77,67,74,96,2026-03-07
359,72,62,74,63,68,68,2026-04-05
360,72,78,62,77,81,74,2026-05-03
361,73,72,55,47,31,61,2026-01-12
362,73,25,25,27,38,66,2026-02-08
363,73,36,63,27,51,48,2026-03-10
364,73,64,43,25,53,60,2026-04-04
365,73,50,52,53,52,57,2026-05-03
366,74,58,78,62,49,70,2026-01-12
367,74,68,68,72,71,69,2026-02-08
368,74,67,77,84,61,79,2026-03-08
369,74,70,62,66,89,86,2026-04-06
370,74,66,81,87,78,58,2026-05-04
371,75,69,38,68,72,47,2026-01-13
372,75,62,63,59,59,60,2026-02-10
373,75,48,63,46,60,88,2026-03-09
374,75,32,56,65,43,58,2026-04-04
375,75,75,44,77,57,55,2026-05-02
376,76,81,42,46,69,77,2026-01-11
377,76,57,68,68,61,92,2026-02-10
378,76,64,69,36,52,56,2026-03-10
379,76,68,41,73,72,84,2026-04-05
380,76,84,58,48,54,83,2026-05-05
381,77,75,53,61,78,86,2026-01-11
382,77,53,60,56,63,62,2026-02-10
383,77,59,49,57,55,64,2026-03-10
384,77,84,70,52,53,79,2026-04-07
385,77,75,54,77,53,40,2026-05-04
386,78,58,60,47,42,68,2026-01-11
387,78,73,57,35,41,64,2026-02-10
388,78,72,85,47,54,49,2026-03-07
389,78,76,45,66,73,77,2026-04-05
390,78,53,54,46,56,39,2026-05-05
391,79,58,71,47,60,33,2026-01-13
392,79,25,66,25,35,65,2026-02-10
393,79,47,49,59,57,41,2026-03-10
394,79,46,36,59,60,50,2026-04-06
395,79,43,29,70,50,52,2026-05-03
396,80,55,53,51,50,95,2026-01-13
397,80,58,54,81,68,79,2026-02-09
398,80,34,70,44,75,64,2026-03-08
399,80,84,61,46,59,63,2026-04-07
400,80,65,54,49,63,69,2026-05-02
401,81,42,75,33,84,87,2026-01-11
402,81,75,74,59,51,51,2026-02-08
403,81,52,64,67,25,78,2026-03-07
404,81,51,67,56,48,43,2026-04-06
405,81,61,78,44,66,59,2026-05-02
406,82,53,31,69,78,69,2026-01-11
407,82,77,45,62,55,68,2026-02-07
408,82,54,55,68,40,60,2026-03-08
409,82,72,48,79,62,45,2026-04-05
410,82,62,42,39,51,64,2026-05-04
411,83,56,60,75,75,72,2026-01-11
412,83,79,75,70,60,67,2026-02-08
413,83,50,61,55,71,86,2026-03-08
414,83,68,43,61,61,74,2026-04-04
415,83,69,54,37,90,66,2026-05-04
416,84,51,32,49,58,58,2026-01-12
417,84,66,50,32,49,52,2026-02-08
418,84,47,37,62,54,50,2026-03-08
419,84,42,60,49,88,48,2026-04-07
420,84,78,64,35,61,51,2026-05-04
421,85,71,33,35,25,35,2026-01-12
422,85,49,25,25,44,30,2026-02-07
423,85,68,46,49,56,52,2026-03-07
424,85,52,40,48,66,31,2026-04-07
425,85,48,56,68,39,69,2026-05-04
426,86,51,78,63,76,73,2026-01-13
427,86,79,64,35,63,66,2026-02-10
428,86,63,59,71,55,69,2026-03-09
429,86,76,75,78,50,66,2026-04-07
430,86,72,64,73,76,80,2026-05-05
431,87,71,50,69,53,75,2026-01-11
432,87,72,66,69,62,59,2026-02-07
433,87,70,84,53,56,71,2026-03-10
434,87,75,77,83,69,66,2026-04-06
435,87,69,70,51,75,58,2026-05-03
436,88,66,53,59,51,69,2026-01-11
437,88,59,79,69,59,57,2026-02-09
438,88,68,54,70,72,76,2026-03-07
439,88,44,77,57,70,62,2026-04-05
440,88,49,60,64,71,54,2026-05-02
441,89,52,56,41,74,74,2026-01-13
442,89,54,41,64,62,69,2026-02-07
443,89,60,57,45,65,70,2026-03-09
444,89,81,53,62,62,66,2026-04-07
445,89,60,45,54,67,63,2026-05-05
446,90,66,61,43,61,52,2026-01-10
447,90,32,29,72,46,40,2026-02-07
448,90,58,52,43,52,55,2026-03-09
449,90,65,44,53,46,36,2026-04-07
450,90,40,57,71,56,51,2026-05-05
451,91,65,72,67,62,64,2026-01-11
452,91,52,64,88,59,55,2026-02-08
453,91,60,61,70,78,78,2026-03-07
454,91,53,64,46,75,84,2026-04-04
455,91,59,63,58,44,64,2026-05-03
456,92,55,74,71,50,62,2026-01-10
457,92,51,34,60,59,49,2026-02-08
458,92,70,65,42,43,58,2026-03-07
459,92,49,45,69,48,62,2026-04-05
460,92,31,64,67,64,67,2026-05-03
461,93,69,61,54,74,83,2026-01-10
462,93,84,47,56,57,58,2026-02-08
463,93,48,49,55,58,36,2026-03-10
464,93,45,45,74,39,73,2026-04-04
465,93,61,65,73,59,55,2026-05-05
466,94,31,61,25,42,50,2026-01-10
467,94,52,49,45,39,34,2026-02-07
468,94,52,56,61,43,51,2026-03-07
469,94,48,40,41,33,63,2026-04-07
470,94,43,41,36,47,49,2026-05-03
471,95,70,59,67,68,50,2026-01-12
472,95,50,67,67,62,62,2026-02-07
473,95,61,65,76,69,84,2026-03-08
474,95,67,58,75,62,65,2026-04-07
475,95,71,60,46,54,74,2026-05-02
476,96,75,69,45,51,70,2026-01-10
477,96,70,54,83,73,71,2026-02-09
478,96,79,69,64,84,49,2026-03-07
479,96,55,66,75,74,82,2026-04-07
480,96,73,87,63,94,59,2026-05-05
481,97,42,72,46,80,76,2026-01-12
482,97,67,43,46,89,65,2026-02-10
483,97,38,49,74,50,52,2026-03-10
484,97,61,59,66,67,75,2026-04-07
485,97,69,76,45,69,55,2026-05-04
486,98,46,66,25,56,66,2026-01-13
487,98,55,50,48,68,45,2026-02-09
488,98,53,75,71,65,73,2026-03-09
489,98,41,54,70,47,68,2026-04-07
490,98,40,47,38,63,70,2026-05-02
491,99,70,50,64,32,64,2026-01-12
492,99,55,53,71,73,78,2026-02-07
493,99,70,65,73,66,64,2026-03-07
494,99,78,74,73,77,89,2026-04-07
495,99,66,86,58,39,70,2026-05-05
496,100,53,32,58,45,44,2026-01-10
497,100,63,79,74,70,86,2026-02-09
498,100,53,70,50,55,76,2026-03-10
499,100,81,52,71,64,45,2026-04-07
500,100,81,67,55,58,42,2026-05-05
501,101,48,62,61,77,78,2026-01-13
502,101,70,68,63,59,60,2026-02-10
503,101,67,58,53,57,70,2026-03-07
504,101,75,48,57,55,52,2026-04-05
505,101,77,73,60,65,79,2026-05-02
506,102,81,61,63,77,72,2026-01-11
507,102,60,55,56,90,100,2026-02-10
508,102,66,74,80,56,66,2026-03-10
509,102,71,62,58,74,70,2026-04-05
510,102,77,63,58,59,69,2026-05-02
511,103,54,41,82,79,74,2026-01-11
512,103,38,49,73,53,61,2026-02-10
513,103,38,76,54,65,64,2026-03-09
514,103,71,59,68,73,72,2026-04-06
515,103,59,57,51,61,75,2026-05-04
516,104,80,60,70,65,53,2026-01-10
517,104,65,68,63,62,70,2026-02-10
518,104,54,69,55,39,72,2026-03-10
519,104,58,69,67,46,58,2026-04-06
520,104,93,68,58,63,61,2026-05-05
521,105,71,75,98,63,74,2026-01-13
522,105,66,62,86,60,48,2026-02-07
523,105,63,75,62,55,57,2026-03-07
524,105,43,83,74,47,61,2026-04-06
525,105,69,62,53,74,56,2026-05-02
526,106,89,59,46,71,87,2026-01-12
527,106,76,76,83,63,65,2026-02-08
528,106,70,71,59,67,62,2026-03-07
529,106,85,73,56,67,75,2026-04-04
530,106,77,65,80,64,61,2026-05-05
531,107,72,58,51,66,61,2026-01-10
532,107,92,82,75,75,89,2026-02-10
533,107,64,63,64,42,64,2026-03-09
534,107,70,68,67,64,74,2026-04-05
535,107,53,44,54,58,88,2026-05-02
536,108,77,47,59,55,88,2026-01-12
537,108,74,65,61,67,61,2026-02-10
538,108,37,55,40,86,62,2026-03-10
539,108,82,68,64,72,88,2026-04-06
540,108,63,59,81,42,52,2026-05-05
541,109,42,49,66,49,66,2026-01-11
542,109,66,49,63,58,74,2026-02-08
543,109,74,60,55,64,67,2026-03-07
544,109,68,68,64,69,62,2026-04-06
545,109,88,66,34,75,79,2026-05-04
546,110,53,54,49,53,57,2026-01-13
547,110,52,58,63,72,84,2026-02-09
548,110,53,31,67,59,64,2026-03-10
549,110,50,51,50,73,59,2026-04-04
550,110,44,71,38,65,65,2026-05-05
551,111,49,54,60,45,53,2026-01-10
552,111,62,78,51,54,51,2026-02-10
553,111,65,62,75,75,71,2026-03-10
554,111,52,37,82,70,88,2026-04-04
555,111,70,65,72,88,58,2026-05-02
556,112,66,56,47,55,67,2026-01-10
557,112,74,69,40,46,70,2026-02-09
558,112,59,58,94,76,55,2026-03-08
559,112,82,69,38,67,69,2026-04-07
560,112,42,54,67,69,49,2026-05-05
561,113,42,45,73,64,53,2026-01-12
562,113,49,80,54,64,61,2026-02-10
563,113,65,58,44,61,53,2026-03-10
564,113,75,66,70,64,85,2026-04-07
565,113,42,48,63,58,66,2026-05-03
566,114,60,59,48,81,88,2026-01-10
567,114,64,61,53,78,84,2026-02-09
568,114,81,78,89,76,100,2026-03-07
569,114,97,83,60,77,75,2026-04-07
570,114,92,71,71,83,97,2026-05-02
571,115,65,42,32,55,90,2026-01-11
572,115,58,68,48,69,64,2026-02-07
573,115,52,77,54,56,55,2026-03-10
574,115,54,78,60,55,43,2026-04-04
575,115,81,36,60,66,61,2026-05-05
576,116,78,55,55,61,62,2026-01-13
577,116,48,71,64,65,83,2026-02-09
578,116,74,77,45,78,53,2026-03-08
579,116,70,54,69,68,62,2026-04-05
580,116,70,51,67,57,36,2026-05-03
581,117,69,58,60,74,60,2026-01-13
582,117,76,62,63,72,75,2026-02-10
583,117,49,56,86,52,51,2026-03-09
584,117,85,64,48,54,75,2026-04-07
585,117,75,59,68,60,85,2026-05-04
586,118,55,39,43,61,68,2026-01-12
587,118,49,49,65,61,42,2026-02-09
588,118,62,54,53,55,49,2026-03-07
589,118,47,43,53,60,56,2026-04-05
590,118,47,54,52,55,41,2026-05-03
591,119,44,56,45,66,38,2026-01-10
592,119,30,44,46,25,58,2026-02-08
593,119,81,56,31,44,64,2026-03-08
594,119,36,44,42,87,50,2026-04-05
595,119,55,33,33,47,56,2026-05-05
596,120,64,59,77,39,63,2026-01-12
597,120,58,33,44,71,54,2026-02-08
598,120,49,63,54,40,49,2026-03-10
599,120,66,61,45,42,70,2026-04-06
600,120,63,60,46,68,59,2026-05-04
601,121,49,67,50,50,58,2026-01-13
602,121,57,42,40,56,36,2026-02-09
603,121,65,44,46,68,62,2026-03-07
604,121,55,68,60,66,47,2026-04-06
605,121,56,25,42,60,50,2026-05-05
606,122,74,68,70,79,58,2026-01-12
607,122,50,57,56,68,72,2026-02-07
608,122,65,57,94,47,65,2026-03-07
609,122,50,68,85,35,76,2026-04-04
610,122,43,71,75,68,65,2026-05-03
611,123,62,37,53,28,45,2026-01-13
612,123,61,31,45,48,54,2026-02-08
613,123,29,50,60,53,39,2026-03-08
614,123,35,57,34,37,40,2026-04-05
615,123,64,61,56,47,59,2026-05-02
616,124,99,66,52,60,59,2026-01-10
617,124,46,71,55,69,66,2026-02-09
618,124,79,64,89,64,83,2026-03-10
619,124,84,66,65,67,92,2026-04-05
620,124,85,59,58,78,85,2026-05-04
621,125,75,42,71,83,77,2026-01-11
622,125,54,69,62,85,72,2026-02-07
623,125,67,46,80,82,80,2026-03-07
624,125,70,61,48,63,48,2026-04-07
625,125,50,75,60,72,71,2026-05-04
626,126,60,63,41,69,59,2026-01-12
627,126,53,34,54,43,45,2026-02-09
628,126,41,67,74,63,64,2026-03-07
629,126,49,42,53,52,50,2026-04-05
630,126,64,47,67,52,38,2026-05-05
631,127,45,73,64,59,74,2026-01-13
632,127,69,80,81,71,65,2026-02-08
633,127,55,82,53,82,58,2026-03-09
634,127,55,69,79,56,75,2026-04-05
635,127,55,65,59,67,79,2026-05-02
636,128,67,59,86,51,82,2026-01-12
637,128,56,59,69,77,54,2026-02-08
638,128,53,66,62,82,77,2026-03-09
639,128,62,60,72,84,63,2026-04-05
640,128,76,51,78,60,84,2026-05-02
641,129,66,36,34,43,35,2026-01-11
642,129,40,58,28,53,64,2026-02-09
643,129,57,60,30,49,38,2026-03-10
644,129,74,40,43,25,74,2026-04-06
645,129,65,45,34,53,50,2026-05-04
646,130,56,74,63,36,68,2026-01-11
647,130,57,75,68,39,71,2026-02-07
648,130,52,63,47,62,77,2026-03-09
649,130,56,58,45,63,58,2026-04-06
650,130,71,41,47,57,66,2026-05-04
651,131,58,50,76,67,70,2026-01-10
652,131,41,75,60,66,68,2026-02-08
653,131,64,52,53,53,52,2026-03-08
654,131,51,68,49,28,47,2026-04-07
655,131,63,79,70,37,66,2026-05-04
656,132,52,44,64,54,72,2026-01-12
657,132,61,44,51,68,75,2026-02-07
658,132,64,62,53,66,54,2026-03-10
659,132,55,58,90,72,82,2026-04-06
660,132,75,64,69,80,96,2026-05-04
661,133,66,55,52,59,63,2026-01-12
662,133,64,58,63,69,77,2026-02-09
663,133,66,68,52,38,60,2026-03-07
664,133,42,45,86,80,52,2026-04-04
